trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.5, 'e': 0.49872621790648564}",25,0,-66.49601280217095,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.853220107722584}",20,0,-96.08702992273668,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.9988159580766447}",20,0,-204.7770411114689,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
114,False,"{'a': 0.5, 'e': 0.8998668269691938}",25,0,-79.40258556211403,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.580598912666927}",25,0,-39.51386390663369,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.11918013544881928}",25,0,22.2679150092894,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.37141809547969407}",25,11,-3.7136522770268146,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.7710802229758452}",25,0,-124.6406373168327,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.9819550195245901}",20,0,-59.08467606864306,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.9524129804151563}",20,12,-77.29822465504607,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 2}",1
121,False,"{'a': 0.5, 'e': 0.6896870271361664}",20,0,-9.82124091685594,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.25810163593826746}",20,9,18.967335272770693,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.23667603734656428}",25,13,20.88740901466952,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.6735071623235862}",20,0,-13.641880307014832,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.9454402445803316}",25,0,-137.02066278080943,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.9858965815825497}",30,0,-96.15604401508196,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.784971051068018}",25,0,-103.31658727308151,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.39185723042955}",20,0,2.897950693406452,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.0971969067167568}",35,16,14.699827341782841,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.562453851238172}",25,0,-79.88991474688908,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.8900024767126464}",20,15,4.358222675989026,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
