trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.18295651830906087}",20,14,-11.413550246592408,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597027}",30,12,18.216832032082667,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471056}",20,0,3.5825722795680055,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.17752252675876345}",20,0,-23.096275757840797,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.17574730149117582}",20,8,-2.539690643737509,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626407}",25,0,31.871603597590457,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.17224993019150142}",20,0,4.054701483300781,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.1705274308895864}",25,1,-3.814599096255626,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.16882215658069055}",25,17,17.530521493601377,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16713393501488363}",25,3,20.165682535597693,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473479}",25,2,37.9357823259495,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808745}",25,0,33.43314131154439,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100657}",25,0,-41.5742625593384,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.1605481911108965}",20,6,12.407294278120174,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
